Level	Item	Description	Revision	Type	Status	Engineering Item	Item Seq	Op Seq	Alternate	Engineering Bill	Comments	UOM	Basis	Quantity	Planning %	Yield	Extended Quantity	Effectivity Control	From	To	From Date	To Date	Implemented	ECO	Supply Type	Subinventory	Locator	Costed	Unit Cost	Extended Quantity	Extended Cost	Operation Seq	Manufacturing	Offset	Cumulative Manufacuturing	Cumulative Total	Optional	Mutually Exclusive	ATP	Min Qty	Max Qty	Sales Order Basis	Shippable	Include on Ship Docs	Required To Ship	Required For Revenue	
1	        0100222AXX	RELAY SPDT 12V 8A/250V	0	Purchased item	ACTIVE		10	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	3.05680447909284195605953224663359319631	2	6.11360895818568391211906449326718639262	1							*			None	*				
1	        0100235AXX	RELAY SPDT 12V 250VAC 16A 12.5X28.5X15	0	Purchased item	ACTIVEROHS		20	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	3.448	2	6.896	1	48						*			None	*				
1	        0100261AXX	OMC RELAY SPST-NO 12V 250VAC 16A 12.9X29.2X25	0	Purchased item	ACTIVEROHS		30	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	4.02	1	4.02	1	108						*			None	*				
1	    -  0605684AB0	PTC FUSIBILE SIEMENS 250MA PREF: 06-TA P1=3,5	0	Finished good	ACTIVE		40	1				Pz	Item	1	100	1	1	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	1.34528	1	1.34528	1							*			None	*				
2	            0605684AXX	PTC FUSIBILE SIEMENS 250MA	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	1	Date			13-FEB-2007 02:22:28		*		Operation Pull			*	1.25	1	1.25	1	98						*			None	*				
1	        0907558AXX	TRASF.AMPER N.SPIRE 100:3 WITH DIODES	0	Purchased item	ACTIVE		50	1				Pz	Item	3	100	1	3	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	7.8	3	23.4	1	28						*			None	*				
1	        14C507A013	SUPP.SCH.MICRO CONFORT 230  RITTAL	0	Purchased item	ACTIVE		90	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:03:00		*		Operation Pull	1-CHI		*	.4	2	.8	1	24									None	*				
1	        18C506A013	INSERTFOR CLOSE CONNECTOR	0	Purchased item	ACTIVEROHS		100	1				Pz	Item	2	100	.95	2.10526315789473684210526315789473684211	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.1724699310344827586206896551724137931034	2.10526315789473684210526315789473684211	.3630945916515426497277676950998185117974	1	74						*			None	*				
1	        21C506A038	CM CARTONCINO CHIUSURA X CASSE RITTAL GERMANIA	0	Purchased item	NEW-BETA		110	1				Pz	Item	.0416666666666666666666666666666666666667	100	1	.0416666666666666666666666666666666666667	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	0	.0416666666666666666666666666666666666667	0	1	0						*			None	*				
1	    -  5526100AB0	DIODO 1N4006, 1N4007 PREF: 55-TA P=3,5 L=10	0	Finished good	ACTIVE		120	1				Pz	Item	6	100	1	6	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.08037	6	.48222	1							*			None	*				
2	            5526100AXX	DIODO 1N4006, 1N4007	0	Purchased item	ACTIVEROHS		10	1				Pz	Item	1	100	1	6	Date			25-SEP-2007 05:17:28		*		Operation Pull			*	.064491906976744186046511627906976744186	6	.386951441860465116279069767441860465116	1	96						*			None	*				
1	    -  5626731AB0	C.EL.V. 105 470U 50V 13X21  STD P5 PREF: 56-TA P=3.5	0	Finished good	ACTIVE		130	1				Pz	Item	2	100	1	2	Date			23-NOV-2011 09:00:00		*		Operation Pull	1-CHI		*	.43464	2	.86928	1							*			None	*				
